               ('AbeOT', 'FG4') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'FG5') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'FG6') :     0 :   0.0 :  None : False : False
               ('Benji', 'AG1') :     0 :  28.0 :  None : False : False
               ('Benji', 'AG2') :     0 :   0.0 :  None : False : False
               ('Benji', 'AG3') :     0 :   0.0 :  None : False : False
               ('Benji', 'AG4') :     0 :   0.0 :  None : False : False
               ('Benji', 'BP1') :     0 :   0.0 :  None : False : False
               ('Benji', 'BP2') :     0 :   0.0 :  None : False : False
               ('Benji', 'BP3') :     0 :   0.0 :  None : False : False
               ('Benji', 'BP4') :     0 :   0.0 :  None : False : False
               ('Benji', 'BP5') :     0 :  17.0 :  None : False : False
               ('Benji', 'BP6') :     0 :   0.0 :  None : False : False
               ('Benji', 'CL1') :     0 :   0.0 :  None : False : False
               ('Benji', 'CL2') :     0 :   0.0 :  None : False : False
               ('Benji', 'CL3') :     0 :   0.0 :  None : False : False
                ('Benji', 'DD') :     0 :   0.0 :  None : False : False
               ('Benji', 'FG1') :     0 :   0.0 :  None : False : False
               ('Benji', 'FG2') :     0 :   0.0 :  None : False : False
               ('Benji', 'FG3') :     0 :   0.0 :  None : False : False
               ('Benji', 'FG4') :     0 :   0.0 :  None : False : False
               ('Benji', 'FG5') :     0 :   0.0 :  None : False : False
               ('Benji', 'FG6') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'AG1') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'AG2') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'AG3') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'AG4') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'BP1') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'BP2') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'BP3') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'BP4') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'BP5') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'BP6') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'CL1') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'CL2') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'CL3') :     0 :   0.0 :  None : False : False
              ('BenjiOT', 'DD') :     0 :  15.0 :  None : False : False
             ('BenjiOT', 'FG1') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'FG2') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'FG3') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'FG4') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'FG5') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'FG6') :     0 :   0.0 :  None : False : False
             ('Chester', 'AG1') :     0 :   0.0 :  None : False : False
             ('Chester', 'AG2') :     0 :   0.0 :  None : False : False
             ('Chester', 'AG3') :     0 :   0.0 :  None : False : False
             ('Chester', 'AG4') :     0 :   0.0 :  None : False : False
             ('Chester', 'BP1') :     0 :   0.0 :  None : False : False
             ('Chester', 'BP2') :     0 :   0.0 :  None : False : False
             ('Chester', 'BP3') :     0 :   0.0 :  None : False : False
             ('Chester', 'BP4') :     0 :   0.0 :  None : False : False
             ('Chester', 'BP5') :     0 :   0.0 :  None : False : False
             ('Chester', 'BP6') :     0 :   0.0 :  None : False : False
             ('Chester', 'CL1') :     0 :   0.0 :  None : False : False
             ('Chester', 'CL2') :     0 :   0.0 :  None : False : False
             ('Chester', 'CL3') :     0 :   0.0 :  None : False : False
              ('Chester', 'DD') :     0 :   0.0 :  None : False : False
             ('Chester', 'FG1') :     0 :   0.0 :  None : False : False
             ('Chester', 'FG2') :     0 :   0.0 :  None : False : False
             ('Chester', 'FG3') :     0 :   0.0 :  None : False : False
             ('Chester', 'FG4') :     0 :   1.5 :  None : False : False
             ('Chester', 'FG5') :     0 :  28.0 :  None : False : False
             ('Chester', 'FG6') :     0 :   0.0 :  None : False : False
            ('Franklin', 'AG1') :     0 :   0.0 :  None : False : False
            ('Franklin', 'AG2') :     0 :  28.0 :  None : False : False
            ('Franklin', 'AG3') :     0 :   1.0 :  None : False : False
            ('Franklin', 'AG4') :     0 :   0.0 :  None : False : False
            ('Franklin', 'BP1') :     0 :   0.0 :  None : False : False
            ('Franklin', 'BP2') :     0 :   0.0 :  None : False : False
            ('Franklin', 'BP3') :     0 :   0.0 :  None : False : False
            ('Franklin', 'BP4') :     0 :   0.0 :  None : False : False
            ('Franklin', 'BP5') :     0 :   0.0 :  None : False : False
            ('Franklin', 'BP6') :     0 :   0.0 :  None : False : False
            ('Franklin', 'CL1') :     0 :   0.0 :  None : False : False
            ('Franklin', 'CL2') :     0 :   0.0 :  None : False : False
