
  Variables:
    x : Size=3216, Index=x_index, Domain=NonNegativeReals
        Key                     : Lower : Value : Upper : Fixed : Stale
                 ('Abe', 'A11') :     0 :   4.0 :  None : False : False
                 ('Abe', 'A12') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A13') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A14') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A21') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A22') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A23') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A24') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A31') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A32') :     0 :   4.0 :  None : False : False
                 ('Abe', 'A33') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A34') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A41') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A42') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A43') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A44') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A51') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A52') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A53') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A54') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A61') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A62') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A63') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A64') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A71') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A72') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A73') :     0 :   0.0 :  None : False : False
                 ('Abe', 'A74') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B11') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B12') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B13') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B14') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B15') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B16') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B21') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B22') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B23') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B24') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B25') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B26') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B31') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B32') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B33') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B34') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B35') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B36') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B41') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B42') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B43') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B44') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B45') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B46') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B51') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B52') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B53') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B54') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B55') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B56') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B61') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B62') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B63') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B64') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B65') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B66') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B71') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B72') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B73') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B74') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B75') :     0 :   0.0 :  None : False : False
                 ('Abe', 'B76') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C11') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C12') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C13') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C21') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C22') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C23') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C31') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C32') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C33') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C41') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C42') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C43') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C51') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C52') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C53') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C61') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C62') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C63') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C71') :     0 :   0.0 :  None : False : False
                 ('Abe', 'C72') :     0 :   4.0 :  None : False : False
                 ('Abe', 'C73') :     0 :   4.0 :  None : False : False
                  ('Abe', 'DD') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F11') :     0 :   4.0 :  None : False : False
                 ('Abe', 'F12') :     0 :   4.0 :  None : False : False
                 ('Abe', 'F13') :     0 :   4.0 :  None : False : False
                 ('Abe', 'F14') :     0 :   4.0 :  None : False : False
                 ('Abe', 'F15') :     0 :   4.0 :  None : False : False
                 ('Abe', 'F16') :     0 :   4.0 :  None : False : False
                 ('Abe', 'F21') :     0 :   4.0 :  None : False : False
                 ('Abe', 'F22') :     0 :   1.0 :  None : False : False
                 ('Abe', 'F23') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F24') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F25') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F26') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F31') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F32') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F33') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F34') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F35') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F36') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F41') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F42') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F43') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F44') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F45') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F46') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F51') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F52') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F53') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F54') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F55') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F56') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F61') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F62') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F63') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F64') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F65') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F66') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F71') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F72') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F73') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F74') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F75') :     0 :   0.0 :  None : False : False
                 ('Abe', 'F76') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A11') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A12') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A13') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A14') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A21') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A22') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A23') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A24') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A31') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A32') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A33') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A34') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A41') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A42') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A43') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A44') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A51') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A52') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A53') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A54') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A61') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A62') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A63') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A64') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A71') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A72') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A73') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'A74') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B11') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B12') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B13') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B14') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B15') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B16') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B21') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B22') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B23') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B24') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B25') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B26') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B31') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B32') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B33') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B34') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B35') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B36') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B41') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B42') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B43') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B44') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B45') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B46') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B51') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B52') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B53') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B54') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B55') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B56') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B61') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B62') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B63') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B64') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B65') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B66') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B71') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B72') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B73') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B74') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B75') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B76') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C11') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C12') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C13') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C21') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C22') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C23') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C31') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C32') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C33') :     0 :   0.0 :  None : False : False
