  Variables:
    x : Size=322, Index=x_index, Domain=NonNegativeReals
        Key                        : Lower : Value : Upper : Fixed : Stale
                    ('Abe', 'AG2') :     0 :   0.0 :  None : False : False
                    ('Abe', 'AG3') :     0 :   0.0 :  None : False : False
                    ('Abe', 'AG4') :     0 :   0.0 :  None : False : False
                    ('Abe', 'BP5') :     0 :   0.0 :  None : False : False
                 ('Abe', 'BP6CL1') :     0 :   0.0 :  None : False : False
                    ('Abe', 'CL2') :     0 :   0.0 :  None : False : False
                 ('Abe', 'CL3AG1') :     0 :   0.0 :  None : False : False
                     ('Abe', 'DD') :     0 :   8.0 :  None : False : False
                    ('Abe', 'FG1') :     0 :   0.0 :  None : False : False
                    ('Abe', 'FG2') :     0 :   0.0 :  None : False : False
                 ('Abe', 'FG3BP1') :     0 :   0.0 :  None : False : False
                 ('Abe', 'FG4BP2') :     0 :   0.0 :  None : False : False
                 ('Abe', 'FG5BP3') :     0 :   0.0 :  None : False : False
                 ('Abe', 'FG6BP4') :     0 :   0.0 :  None : False : False
                  ('AbeOT', 'AG2') :     0 :   0.0 :  None : False : False
                  ('AbeOT', 'AG3') :     0 :   0.0 :  None : False : False
                  ('AbeOT', 'AG4') :     0 :   0.0 :  None : False : False
                  ('AbeOT', 'BP5') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'BP6CL1') :     0 :   0.0 :  None : False : False
                  ('AbeOT', 'CL2') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'CL3AG1') :     0 :   0.0 :  None : False : False
                   ('AbeOT', 'DD') :     0 :   4.0 :  None : False : False
                  ('AbeOT', 'FG1') :     0 :   0.0 :  None : False : False
                  ('AbeOT', 'FG2') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'FG3BP1') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'FG4BP2') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'FG5BP3') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'FG6BP4') :     0 :   0.0 :  None : False : False
                  ('Benji', 'AG2') :     0 :   0.0 :  None : False : False
                  ('Benji', 'AG3') :     0 :   0.0 :  None : False : False
                  ('Benji', 'AG4') :     0 :   0.0 :  None : False : False
                  ('Benji', 'BP5') :     0 :   0.0 :  None : False : False
               ('Benji', 'BP6CL1') :     0 :   0.0 :  None : False : False
                  ('Benji', 'CL2') :     0 :   0.0 :  None : False : False
               ('Benji', 'CL3AG1') :     0 :   8.0 :  None : False : False
                   ('Benji', 'DD') :     0 :   0.0 :  None : False : False
                  ('Benji', 'FG1') :     0 :   0.0 :  None : False : False
                  ('Benji', 'FG2') :     0 :   0.0 :  None : False : False
               ('Benji', 'FG3BP1') :     0 :   0.0 :  None : False : False
               ('Benji', 'FG4BP2') :     0 :   0.0 :  None : False : False
               ('Benji', 'FG5BP3') :     0 :   0.0 :  None : False : False
               ('Benji', 'FG6BP4') :     0 :   0.0 :  None : False : False
                ('BenjiOT', 'AG2') :     0 :   0.0 :  None : False : False
                ('BenjiOT', 'AG3') :     0 :   0.0 :  None : False : False
                ('BenjiOT', 'AG4') :     0 :   0.0 :  None : False : False
                ('BenjiOT', 'BP5') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'BP6CL1') :     0 :   0.0 :  None : False : False
                ('BenjiOT', 'CL2') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'CL3AG1') :     0 :   0.0 :  None : False : False
                 ('BenjiOT', 'DD') :     0 :   4.0 :  None : False : False
                ('BenjiOT', 'FG1') :     0 :   0.0 :  None : False : False
                ('BenjiOT', 'FG2') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'FG3BP1') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'FG4BP2') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'FG5BP3') :     0 :   0.0 :  None : False : False
             ('BenjiOT', 'FG6BP4') :     0 :   0.0 :  None : False : False
                ('Chester', 'AG2') :     0 :   0.0 :  None : False : False
                ('Chester', 'AG3') :     0 :   4.0 :  None : False : False
                ('Chester', 'AG4') :     0 :   0.0 :  None : False : False
                ('Chester', 'BP5') :     0 :   0.0 :  None : False : False
             ('Chester', 'BP6CL1') :     0 :   0.0 :  None : False : False
                ('Chester', 'CL2') :     0 :   0.0 :  None : False : False
             ('Chester', 'CL3AG1') :     0 :   0.0 :  None : False : False
                 ('Chester', 'DD') :     0 :   0.0 :  None : False : False
                ('Chester', 'FG1') :     0 :   0.0 :  None : False : False
                ('Chester', 'FG2') :     0 :   0.0 :  None : False : False
             ('Chester', 'FG3BP1') :     0 :   0.0 :  None : False : False
             ('Chester', 'FG4BP2') :     0 :   0.0 :  None : False : False
             ('Chester', 'FG5BP3') :     0 :   0.0 :  None : False : False
             ('Chester', 'FG6BP4') :     0 :   0.0 :  None : False : False
               ('Franklin', 'AG2') :     0 :   0.0 :  None : False : False
               ('Franklin', 'AG3') :     0 :   0.0 :  None : False : False
               ('Franklin', 'AG4') :     0 :   0.0 :  None : False : False
               ('Franklin', 'BP5') :     0 :   0.0 :  None : False : False
            ('Franklin', 'BP6CL1') :     0 :   0.0 :  None : False : False
               ('Franklin', 'CL2') :     0 :   0.0 :  None : False : False
            ('Franklin', 'CL3AG1') :     0 :   0.0 :  None : False : False
                ('Franklin', 'DD') :     0 :   8.0 :  None : False : False
               ('Franklin', 'FG1') :     0 :   0.0 :  None : False : False
               ('Franklin', 'FG2') :     0 :   0.0 :  None : False : False
            ('Franklin', 'FG3BP1') :     0 :   0.0 :  None : False : False
            ('Franklin', 'FG4BP2') :     0 :   0.0 :  None : False : False
            ('Franklin', 'FG5BP3') :     0 :   0.0 :  None : False : False
            ('Franklin', 'FG6BP4') :     0 :   0.0 :  None : False : False
             ('FranklinOT', 'AG2') :     0 :   0.0 :  None : False : False
             ('FranklinOT', 'AG3') :     0 :   0.0 :  None : False : False
             ('FranklinOT', 'AG4') :     0 :   0.0 :  None : False : False
             ('FranklinOT', 'BP5') :     0 :   0.0 :  None : False : False
          ('FranklinOT', 'BP6CL1') :     0 :   0.0 :  None : False : False
             ('FranklinOT', 'CL2') :     0 :   0.0 :  None : False : False
          ('FranklinOT', 'CL3AG1') :     0 :   0.0 :  None : False : False
              ('FranklinOT', 'DD') :     0 :   4.0 :  None : False : False
             ('FranklinOT', 'FG1') :     0 :   0.0 :  None : False : False
